ID,Name,Type,Lights,Courts,Phone,ClubName,ClubWebsite,ClubInfo,LocationAddress,WinterPlay,Longitude,Latitude
1,Simulated Tennis Facility 001,Public,No,2,NA,NA,NA,NA,295 Greenwood Avenue,NA,-79.36402481125522,43.656107803716736
2,Simulated Tennis Facility 002,Public,No,3,NA,NA,NA,NA,220 Valley Road,NA,-79.20805821702743,43.76483921304765
3,Simulated Tennis Facility 003,Public,No,4,NA,NA,NA,NA,349 Lakeshore Drive,NA,-79.36624299691015,43.733168491771735
4,Simulated Tennis Facility 004,Public,Yes,3,NA,NA,NA,NA,13 Park Road,NA,-79.50261574795222,43.65003372856395
5,Simulated Tennis Facility 005,Public,No,5,NA,NA,NA,NA,356 Ravine Avenue,NA,-79.44845555873364,43.71935804199016
6,Simulated Tennis Facility 006,Public,No,1,NA,NA,NA,NA,230 Ravine Avenue,NA,-79.55096918097955,43.67097331890852
7,Simulated Tennis Facility 007,Public,Yes,3,NA,NA,NA,NA,728 Lakeshore Drive,NA,-79.28866684810426,43.736672154869645
8,Simulated Tennis Facility 008,Public,No,2,NA,NA,NA,NA,504 Lakeshore Drive,NA,-79.46794925027183,43.699832525671646
9,Simulated Tennis Facility 009,Public,No,3,NA,NA,NA,NA,930 Park Road,NA,-79.54185522662499,43.681363650956406
10,Simulated Tennis Facility 010,Public,No,3,NA,NA,NA,NA,237 Park Road,NA,-79.30699472447685,43.706626993097984
11,Simulated Tennis Facility 011,Club,Yes,4,416-555-5352,Community Tennis Club 011,https://example.com/tennis-club-11,Community tennis club with membership and public access hours.,178 Valley Road,NA,-79.51947792918509,43.68606271403835
12,Simulated Tennis Facility 012,Club,Yes,7,416-555-6964,Community Tennis Club 012,https://example.com/tennis-club-12,Community tennis club with membership and public access hours.,731 Greenwood Avenue,Yes,-79.41959311888834,43.63856156419328
13,Simulated Tennis Facility 013,Public,Yes,4,NA,NA,NA,NA,936 Lakeshore Drive,NA,-79.26968807139511,43.76268461789722
14,Simulated Tennis Facility 014,Public,Yes,2,NA,NA,NA,NA,931 Valley Road,Yes,-79.5532325300966,43.64446667460646
15,Simulated Tennis Facility 015,Public,No,3,NA,NA,NA,NA,904 Greenwood Avenue,NA,-79.5877959256717,43.664424315925054
16,Simulated Tennis Facility 016,Public,No,1,NA,NA,NA,NA,801 Park Road,NA,-79.46195231419244,43.71595707603025
17,Simulated Tennis Facility 017,Public,No,2,NA,NA,NA,NA,208 Valley Road,NA,-79.47200435952733,43.725735845225486
