record_id,location_id,name,location_address,type,lights,courts,winter_play,club_name,club_website,longitude,latitude
1,2341,Agincourt Park,27 Glen Watford Dr,Club,Yes,4,Not indicated,Agincourt Tennis Club,http://www.agincourttennisclub.ca,-79.2749181798,43.7882598434
2,1044,Alamosa Park,111 Alamosa Dr,Club,No,3,Not indicated,Bridlebrook Tennis Club,http://www.nyta.org,-79.3695581505,43.7810883366
3,923,Albion Gardens Park,41 Deanlea Crt,Public,Yes,3,Not indicated,NA,NA,-79.5589172181,43.7396441768
4,484,Amesbury Park,151 Culford Rd,Public,No,2,Yes,NA,NA,-79.4834224962,43.7061864958
5,491,Ancaster Park,43 Ancaster Rd,Public,No,3,Not indicated,NA,NA,-79.4655052281,43.7334252351
6,582,Angela James Arena & Tennis Courts,165 Grenoble Dr,Public,Yes,4,Not indicated,NA,NA,-79.3276349852,43.713147965
7,42,Antibes Community Centre,140 Antibes Dr,Public,No,1,Yes,NA,NA,-79.4469957603,43.7811383787
8,2113,Banbury Park,120 Banbury Rd,Club,Yes,4,Not indicated,Banbury Tennis Club,http://www.banburytennisclub.net,-79.3698734894,43.7427740036
9,513,Baycrest Park,160 Neptune Dr,Public,Yes,2,Yes,NA,NA,-79.4453131544,43.7271773569
10,517,Bayview Village Park,2945 Bayview Ave,Public,No,3,Not indicated,NA,NA,-79.3872627373,43.7730254747
11,219,Beaches Park,2075 Queen St E,Club,Yes,10,Not indicated,Kew Gardens Tennis Club,http://www.kewgardenstennis.ca,-79.2985090973,43.6661298729
12,826,Beaumonde Heights Park,17 A Waltham Dr,Public,No,3,Not indicated,NA,NA,-79.5744937229,43.740813307
13,518,Bellbury Park,55 Van Horne Ave.,Club,Yes,5,Not indicated,Bellbury Tennis Club,http://www.bellburytennisclub.com,-79.3613025515,43.7836678733
14,1025,Bennington Heights Park,465 Heath St E,Club,Yes,2,Not indicated,Bennington Heights Tennis Club,http://www.benningtonheightstennis.org,-79.3695658694,43.6950046581
15,521,Bestview Park,115 Bestview Dr,Public,Yes,3,Yes,NA,NA,-79.383611575,43.8025870812
16,827,Birch Park,75 Arcadian Cir,Public,Yes,2,Yes,NA,NA,-79.527418583,43.5916807547
17,2795,Bloordale Park South,230 Renforth Dr,Public,No,2,Not indicated,NA,NA,-79.5702503041,43.6367217868
18,465,Bond Park,120 Bond Ave,Club,Yes,6,Not indicated,"Nyta Winter Tennis Club,The Don Mills Tennis Club","http://www.nywintertennisclub.com,http://www.donmillstennisclub.com",-79.3512499027,43.7464153718
