neighbourhood_id,neighbourhood,population,total_reported_courts,court_population_ratio,courts_per_10000
115,Mount Dennis,13055,13,9.95787054768288e-4,9.957870547682878
5,Elms-Old Rexdale,9355,8,8.551576696953501e-4,8.551576696953502
49,Bayview Woods-Steeles,12085,10,8.274720728175424e-4,8.274720728175424
68,North Riverdale,11290,9,7.971656333038087e-4,7.971656333038086
87,High Park-Swansea,22665,18,7.941760423560556e-4,7.941760423560556
9,Edenbridge-Humber Valley,15190,11,7.241606319947334e-4,7.241606319947334
40,St.Andrew-Windfields,16960,11,6.485849056603773e-4,6.485849056603773
98,Rosedale-Moore Park,20080,13,6.474103585657371e-4,6.474103585657371
149,Parkwoods-O'Connor Hills,13965,9,6.444683136412459e-4,6.4446831364124595
135,Morningside,17660,11,6.22876557191393e-4,6.2287655719139305
96,Casa Loma,11350,7,6.167400881057269e-4,6.167400881057269
48,Hillcrest Village,16345,10,6.11807892321811e-4,6.11807892321811
3,Thistletown-Beaumond Heights,9850,6,6.091370558375635e-4,6.091370558375635
56,Leaside-Bennington,16535,10,6.047777441790142e-4,6.047777441790142
150,Fenside-Parkwoods,20510,12,5.850804485616773e-4,5.850804485616773
15,Kingsway South,8855,5,5.64652738565782e-4,5.64652738565782
41,Bridle Path-Sunnybrook-York Mills,8940,5,5.592841163310962e-4,5.592841163310962
52,Bayview Village,22330,12,5.373936408419167e-4,5.3739364084191665
18,New Toronto,11345,6,5.288673424416042e-4,5.288673424416042
46,Pleasant View,15220,8,5.256241787122207e-4,5.256241787122208
81,Trinity-Bellwoods,15415,8,5.189750243269543e-4,5.189750243269542
62,East End Danforth,21840,11,5.036630036630037e-4,5.036630036630037
114,Lambton Baby Point,7965,4,5.021971123666039e-4,5.021971123666039
7,Willowridge-Martingrove-Richview,22445,11,4.900868790376476e-4,4.900868790376476
47,Don Valley Village,26775,13,4.8552754435107374e-4,4.855275443510737
12,Markland Wood,10365,5,4.82392667631452e-4,4.82392667631452
160,Mimico-Queensway,17045,8,4.6934584922264595e-4,4.693458492226459
16,Stonegate-Queensway,25650,12,4.6783625730994154e-4,4.678362573099416
63,The Beaches,21510,10,4.6490004649000463e-4,4.6490004649000465
33,Clanton Park,17620,8,4.540295119182747e-4,4.540295119182747
10,Princess-Rosethorn,11170,5,4.476275738585497e-4,4.476275738585497
23,Pelmo Park-Humberlea,11290,5,4.428697962798937e-4,4.428697962798937
36,Newtonbrook West,23805,10,4.200798151648813e-4,4.200798151648813
140,Guildwood,9680,4,4.1322314049586776e-4,4.132231404958677
95,Annex,29300,12,4.0955631399317407e-4,4.09556313993174
103,Lawrence Park South,14960,6,4.0106951871657755e-4,4.0106951871657754
158,Islington,23460,9,3.8363171355498723e-4,3.8363171355498724
42,Banbury-Don Mills,27155,10,3.682563063892469e-4,3.682563063892469
118,Tam O'Shanter-Sullivan,27205,10,3.675794890645102e-4,3.675794890645102
19,Long Branch,11360,4,3.5211267605633805e-4,3.5211267605633805
105,Lawrence Park North,14675,5,3.4071550255536625e-4,3.4071550255536627
1,West Humber-Clairville,33300,11,3.3033033033033035e-4,3.3033033033033035
64,Woodbine Corridor,12205,4,3.277345350266284e-4,3.277345350266284
50,Newtonbrook East,15345,5,3.2583903551645487e-4,3.258390355164549
11,Eringate-Centennial-West Deane,18450,6,3.252032520325203e-4,3.252032520325203
100,Yonge-Eglinton,12410,4,3.2232070910556004e-4,3.2232070910556003
28,Rustic,9390,3,3.194888178913738e-4,3.194888178913738
94,Wychwood,12800,4,3.125e-4,3.125
8,Humber Heights-Westmount,10005,3,2.998500749625187e-4,2.998500749625187
55,Thorncliffe Park,20400,6,2.941176470588235e-4,2.941176470588235
59,Danforth-East York,17065,5,2.929973630237328e-4,2.929973630237328
